alpaca_symbol,qlib_symbol,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,universe_snapshot_source
A,A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AAPL,AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ABBV,ABBV,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ABNB,ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ABT,ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ACGL,ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ACN,ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ADBE,ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ADI,ADI,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ADM,ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ADP,ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ADSK,ADSK,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
AEE,AEE,AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
