alpaca_symbol,security_name,exchange,ETF,Test Issue,qlib_symbol,universe_snapshot_source
A,"Agilent Technologies, Inc. Common Stock",NYSE,N,N,A,Nasdaq Trader Symbol Directory
AA,Alcoa Corporation Common Stock ,NYSE,N,N,AA,Nasdaq Trader Symbol Directory
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,N,N,AADX,Nasdaq Trader Symbol Directory
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N,N,AAL,Nasdaq Trader Symbol Directory
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N,N,AAME,Nasdaq Trader Symbol Directory
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,N,N,AAMI,Nasdaq Trader Symbol Directory
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N,N,AAOI,Nasdaq Trader Symbol Directory
AAON,"AAON, Inc. - Common Stock",NASDAQ,N,N,AAON,Nasdaq Trader Symbol Directory
AAP,Advance Auto Parts Inc.,NYSE,N,N,AAP,Nasdaq Trader Symbol Directory
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,N,AAPG,Nasdaq Trader Symbol Directory
AAPL,Apple Inc. - Common Stock,NASDAQ,N,N,AAPL,Nasdaq Trader Symbol Directory
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,N,AARD,Nasdaq Trader Symbol Directory
AAT,"American Assets Trust, Inc. Common Stock",NYSE,N,N,AAT,Nasdaq Trader Symbol Directory
AAUC,Allied Gold Corporation Common Shares,NYSE,N,N,AAUC,Nasdaq Trader Symbol Directory
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N,N,ABAT,Nasdaq Trader Symbol Directory
ABBV,AbbVie Inc. Common Stock,NYSE,N,N,ABBV,Nasdaq Trader Symbol Directory
ABCB,Ameris Bancorp Common Stock,NYSE,N,N,ABCB,Nasdaq Trader Symbol Directory
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,N,ABCL,Nasdaq Trader Symbol Directory
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,N,ABEO,Nasdaq Trader Symbol Directory
ABG,Asbury Automotive Group Inc Common Stock,NYSE,N,N,ABG,Nasdaq Trader Symbol Directory
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,N,N,ABLV,Nasdaq Trader Symbol Directory
ABM,ABM Industries Incorporated Common Stock,NYSE,N,N,ABM,Nasdaq Trader Symbol Directory
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N,N,ABNB,Nasdaq Trader Symbol Directory
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ABOS,Nasdaq Trader Symbol Directory
ABR,Arbor Realty Trust Common Stock,NYSE,N,N,ABR,Nasdaq Trader Symbol Directory
ABSI,Absci Corporation - Common Stock,NASDAQ,N,N,ABSI,Nasdaq Trader Symbol Directory
ABT,Abbott Laboratories Common Stock,NYSE,N,N,ABT,Nasdaq Trader Symbol Directory
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,N,N,ABTC,Nasdaq Trader Symbol Directory
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,N,N,ABTS,Nasdaq Trader Symbol Directory
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,N,N,ABUS,Nasdaq Trader Symbol Directory
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N,N,ABVC,Nasdaq Trader Symbol Directory
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,N,N,ABX,Nasdaq Trader Symbol Directory
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE,N,N,ABXL,Nasdaq Trader Symbol Directory
ACA,"Arcosa, Inc. Common Stock ",NYSE,N,N,ACA,Nasdaq Trader Symbol Directory
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N,N,ACAD,Nasdaq Trader Symbol Directory
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,N,N,ACB,Nasdaq Trader Symbol Directory
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,ACCL,Nasdaq Trader Symbol Directory
ACCO,Acco Brands Corporation Common Stock,NYSE,N,N,ACCO,Nasdaq Trader Symbol Directory
ACCS,ACCESS Newswire Inc. Common Stock,NYSE American,N,N,ACCS,Nasdaq Trader Symbol Directory
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,N,N,ACDC,Nasdaq Trader Symbol Directory
ACEL,"Accel Entertainment, Inc. ",NYSE,N,N,ACEL,Nasdaq Trader Symbol Directory
